filename,iamge_width,iamge_height,box_name,center_x,center_y,box_width,box_height,angle
0,640,640,l1,320.8323,305.7638,38.3309,113.3142,0.4
0,640,640,l2,196.1122,607.6752,42.2112,53.2833,0.35
0,640,640,l3,518.636,63.7582,188.4394,31.2407,0.48
1,640,640,l1,319.4385,324.4921,42.6227,117.1632,0.39
1,640,640,l2,445.9216,20.4118,40.5462,30.2822,0.27
10,640,640,l1,358.7451,333.8314,213.1722,49.971,0.61
11,640,640,l1,330.1846,316.7753,172.0226,23.7212,0.43
11,640,640,l2,27.0701,205.0125,33.5954,41.3839,0.62
12,640,640,l1,334.2454,297.0452,32.4748,99.7614,0.37
12,640,640,l2,587.5435,506.9921,91.5526,49.7694,0.39
13,640,640,l1,349.7337,280.5118,107.2557,73.9752,2.481593
13,640,640,l2,379.9937,117.739,62.6218,35.9996,0.91
14,640,640,l1,322.7346,322.2137,35.4794,17.6308,2.791593
15,640,640,l1,316.0626,318.7051,33.6139,69.8008,0.54
15,640,640,l2,290.5197,229.338,34.121,24.4572,0.53
16,640,640,l2,307.2029,337.588,147.9626,44.284,2.271593
16,640,640,l1,422.0063,306.3708,37.6416,33.5607,0.7
17,640,640,l1,223.5216,559.1574,51.0849,126.3914,3.071593
17,640,640,l2,385.4791,297.371,225.9839,37.324,2.811593
17,640,640,l3,580.6276,367.6115,213.4053,28.301,1.19
18,640,640,l1,371.6247,303.9411,200.4351,32.9829,3.101593
18,640,640,l2,532.3611,407.4759,47.6444,116.7517,3.111593
18,640,640,l3,259.9557,230.6544,26.5368,66.4863,0.13
18,640,640,l4,543.7835,271.5187,46.98,41.5322,0.26
18,640,640,l5,189.0089,586.3279,34.9721,95.9075,2.721593
19,640,640,l1,367.0258,345.7729,196.0171,34.9801,0.5
19,640,640,l2,150.5083,514.4954,34.3915,60.9254,0.41
2,640,640,l1,371.8137,340.1619,231.4776,51.3329,0.32
2,640,640,l2,476.3219,547.6995,49.6107,162.8946,0.471593
2,640,640,l3,79.309,429.6563,131.7519,46.0639,2.051593
2,640,640,l4,104.9216,593.9118,99.2373,47.9369,0.52
20,640,640,l1,336.9216,348.9118,35.0,145.0,0.0
20,640,640,l2,240.2957,238.968,111.7572,50.0075,3.131593
20,640,640,l3,58.2578,438.6914,111.5034,43.1337,0.6
21,640,640,l1,257.6061,281.7572,240.4209,46.267,0.52
21,640,640,l2,491.8883,170.773,45.6668,106.4394,0.37
22,640,640,l1,299.9508,338.2399,99.0634,46.9794,2.811593
23,640,640,l1,335.6702,274.9193,39.481,143.9191,0.29
23,640,640,l2,230.5076,147.061,38.1597,22.4262,0.3
23,640,640,l3,238.3986,343.4207,33.335,22.1323,0.34
24,640,640,l1,284.5263,411.4655,32.5077,76.3803,2.591593
24,640,640,l2,495.7707,478.5285,163.6158,34.969,2.951593
24,640,640,l3,350.1404,314.2992,136.5237,34.0264,2.941593
24,640,640,l4,592.7767,381.2082,34.0143,64.2897,3.001593
25,640,640,l1,353.8752,293.4775,125.9187,45.6896,2.751593
25,640,640,l2,349.1793,54.1543,33.9932,31.3043,2.671593
26,640,640,l1,312.0009,340.4401,43.8289,114.6374,0.48
26,640,640,l2,78.4216,217.4118,33.317,114.9521,0.46
26,640,640,l3,582.1985,394.9804,32.179,34.4364,0.44
26,640,640,l4,180.4216,173.4118,66.5829,34.2742,0.49
27,640,640,l1,285.2066,394.1886,43.3817,32.5441,2.341593
27,640,640,l2,144.3518,335.9184,34.0176,58.7414,2.441593
27,640,640,l3,302.3084,311.0008,72.3668,51.2064,2.481593
27,640,640,l4,163.9197,249.0699,39.4435,42.7337,2.621593
28,640,640,l1,242.0158,359.2546,25.808,63.659,0.49
